iter	RMSE
0	9.527852572
1	7.803502961
2	6.759780497
3	6.126706629
4	5.742597455
5	5.522483496
6	5.357340221
7	5.265478552
8	5.215491687
9	5.189095009
10	5.156534568
11	5.134231692
12	5.120088534
13	5.104146877
14	5.093627165
15	5.082695153
16	5.076931772
17	5.069657989
18	5.060582165
19	5.048780603
20	5.041699949
21	5.033796994
22	5.029056255
23	5.018973097
24	5.012790717
25	5.004427542
26	4.996628071
27	4.99063376
28	4.981370639
29	4.96947363
30	4.961348344
31	4.953385682
32	4.943563778
33	4.938182942
34	4.931145165
35	4.919462394
36	4.910468822
37	4.907952525
38	4.898520863
39	4.89443246
40	4.8847666
41	4.874852098
42	4.863802088
43	4.856571591
44	4.846983451
45	4.836357488
46	4.827743836
47	4.817974683
48	4.802606773
49	4.793868388
50	4.78364162
51	4.775880687
52	4.769009876
53	4.759418399
54	4.752078196
55	4.74586485
56	4.736057842
57	4.728680062
58	4.723473179
59	4.712098715
60	4.708284856
61	4.702887853
62	4.696144249
63	4.690571988
64	4.67976703
65	4.670443344
66	4.659852271
67	4.654408634
68	4.64747682
69	4.636325782
70	4.628636556
71	4.620176632
72	4.61473346
73	4.608683995
74	4.601140267
75	4.594318992
76	4.587893407
77	4.57769754
78	4.571133626
79	4.564359036
80	4.553685872
81	4.543219788
82	4.537309
83	4.52824915
84	4.523581308
85	4.519611704
86	4.511019068
87	4.505890548
88	4.497260554
89	4.49006356
90	4.484420377
91	4.479037574
92	4.471998453
93	4.464603493
94	4.45983716
95	4.454544525
96	4.445517614
97	4.441844789
98	4.434904603
99	4.427972539
